Date;Savings_rate;M2-M0
31.12.2009;13,80;11229,5
31.01.2010;1,30;11030,8
28.02.2010;9,80;11286,4
31.03.2010;7,70;11653,3
30.04.2010;10,50;11917,6
31.05.2010;6,70;12230,3
30.06.2010;8,70;12533,2
31.07.2010;6,50;12596
31.08.2010;4,00;12959,9
30.09.2010;4,50;13165,7
31.10.2010;5,60;13258,3
30.11.2010;6,60;13643,4
31.12.2010;15,40;14949,2
31.01.2011;-3,70;14477
28.02.2011;7,30;14638,7
31.03.2011;3,40;14870,5
30.04.2011;8,40;14949,5
31.05.2011;2,10;15081,1
30.06.2011;8,10;15529,7
31.07.2011;4,30;15521,5
31.08.2011;0,40;15718,9
30.09.2011;1,90;16060
31.10.2011;0,90;15946,6
30.11.2011;4,70;16444,8
31.12.2011;16,50;18266,2
31.01.2012;-6,90;17678,4
29.02.2012;6,20;17829,5
31.03.2012;4,10;18043,5
30.04.2012;9,20;18092,3
31.05.2012;4,10;18179,9
30.06.2012;9,00;18457,1
31.07.2012;1,60;18330
31.08.2012;4,60;18304,2
30.09.2012;3,20;18468,6
31.10.2012;3,70;18513,5
30.11.2012;8,60;18765,6
31.12.2012;17,00;20734,5
31.01.2013;-5,40;20269,8
28.02.2013;9,80;20627,5
31.03.2013;8,50;21017,2
30.04.2013;12,10;21023,6
31.05.2013;1,50;21244,6
30.06.2013;9,30;21742
31.07.2013;3,60;21963,8
31.08.2013;3,70;21990,1
30.09.2013;1,40;21938,2
31.10.2013;3,70;21857,4
30.11.2013;3,90;22309,2
31.12.2013;14,90;24170
31.01.2014;-19,60;23198,1
28.02.2014;3,00;23469,1
31.03.2014;-7,30;22911,1
30.04.2014;7,60;23102,2
31.05.2014;1,90;23127,7
30.06.2014;5,50;23309,6
31.07.2014;4,10;23307,1
31.08.2014;4,70;23374,6
30.09.2014;-0,90;23338,3
31.10.2014;0,60;22923,6
30.11.2014;0,60;23221,9
31.12.2014;1,50;24444,2
31.01.2015;-4,10;24333,5
28.02.2015;7,30;24553,1
31.03.2015;1,70;24488
30.04.2015;11,20;25099
31.05.2015;2,70;25265,5
30.06.2015;6,80;25298,5
31.07.2015;5,30;25334,7
31.08.2015;8,20;25597,9
30.09.2015;3,20;25329,5
31.10.2015;3,50;25383,3
30.11.2015;5,80;25967,6
31.12.2015;16,40;27940,6
31.01.2016;-12,90;26911,4
29.02.2016;9,30;27159,8
31.03.2016;5,70;27546,5
30.04.2016;9,80;27804
31.05.2016;4,40;28346,1
30.06.2016;7,40;28484,2
31.07.2016;3,60;28569,3
31.08.2016;1,80;28731,1
30.09.2016;3,10;28736,6
31.10.2016;3,00;28711,9
30.11.2016;4,30;29115,8
31.12.2016;14,50;30703,2
31.01.2017;-2,90;30473,1
28.02.2017;6,60;30887,8
31.03.2017;3,00;30944,9
30.04.2017;5,30;30888,5
31.05.2017;2,90;31409,6
30.06.2017;8,90;31676,2
31.07.2017;0,60;31241,7
31.08.2017;1,30;31352,5
30.09.2017;2,80;31481,5
31.10.2017;2,40;31596,8
30.11.2017;5,10;32040,5
31.12.2017;15,50;33996,1
31.01.2018;-11,80;33434,4
28.02.2018;9,30;33744,6
31.03.2018;5,70;33932,7
